Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation GUID	d99c451c-32a2-43d1-acad-d5a8aef429a7
Plate Name	Feeder free HiPSCi 21.05.14
Measurement	Measurement1
Evaluation	Evaluation1
Population	Population - Clumped Nuclei Selected

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Compound	Concentration	Cell Type	Cell Count	Clumped Nuclei Selected - Number of Nuclei Selected- per Object 	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object 	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object 	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object 	Clumped Nuclei Selected - Cell Roundness- Mean per Object 	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object 	
1	4	1	0	2	8	901	569	[890,558,914,583]					1	3416	1374	487	0.953402	0.772557	
1	4	1	0	2	9	862	638	[807,599,899,688]					1	3229	1952	1889	0.545049	0.149821	
1	4	1	0	2	10	905	787	[881,747,971,870]					2	6509	3214	2599	0.69395	0.251549	
1	4	1	0	2	11	1309	822	[1293,808,1331,838]					2	6862	5217	689	0.804181	0.528723	
1	4	1	0	2	12	224	817	[216,810,231,826]					1	4068	1353	184	1.01536	0.666667	
1	4	1	0	2	13	191	931	[89,828,259,957]					3	15766	4198	6826	0.510749	0.246634	
1	4	1	0	2	14	1194	988	[1181,953,1212,1008]					1	2660	1519	1015	0.753208	0.413876	
1	4	1	0	3	1	1329	151	[1315,112,1347,213]					1	3093	2091	1717	0.582391	0.251043	
1	4	1	0	3	2	857	212	[845,135,867,239]					1	2113	1500	1132	0.418753	0.176149	
1	4	1	0	3	3	76	201	[38,177,139,224]					3	10579	5832	2147	0.773627	0.50093	
1	4	1	0	3	4	148	229	[88,195,196,382]					2	4410	3470	5830	0.577153	0.254133	
1	4	1	0	3	5	417	279	[373,259,506,307]					4	15094	5993	3820	0.772001	0.508871	
1	4	1	0	3	6	448	388	[392,320,517,473]					6	26367	11600	4903	0.75963	0.401103	
1	4	1	0	3	7	212	334	[198,321,226,349]					1	3789	3460	597	0.888863	0.678664	
1	4	1	0	3	8	806	364	[782,341,877,435]					2	7601	2982	1602	0.649845	0.212434	
1	4	1	0	3	9	1012	407	[994,390,1061,463]					2	4318	2976	1549	0.826098	0.377223	
1	4	1	0	3	10	1189	446	[1071,429,1209,607]					3	8341	4446	3635	0.703424	0.276645	
1	4	1	0	3	11	411	500	[393,468,430,547]					1	2610	1452	1074	0.515159	0.191759	
1	4	1	0	3	12	802	523	[776,489,932,610]					2	6756	4387	2493	0.57795	0.337752	
1	4	1	0	3	13	1022	561	[1003,543,1039,585]					2	12601	4455	1115	0.915996	0.561458	
1	4	1	0	3	14	286	694	[156,647,342,729]					2	8214	2966	4960	0.480381	0.266035	
1	4	1	0	3	15	1318	714	[1306,702,1330,734]					1	3463	1513	534	0.891568	0.576361	
